# Created by WannierIO.jl 2024-01-31T16:59:54.076
36
51
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -4   -2    0    4   12    0.000000    0.000000
   -4   -2    0    5   12    0.000000    0.000000
   -4   -2    0    6   12    0.000000    0.000000
   -4   -2    0    7   12    0.000000    0.000000
   -4   -2    0    8   12    0.000000    0.000000
   -4   -2    0    9   12    0.000000    0.000000
   -4   -2    0   10   12    0.000000    0.000000
   -4   -2    0   11   12    0.000000    0.000000
   -4   -2    0   12   12   -0.000568   -0.000005
   -4   -2    0   13   12   -0.000342    0.000165
   -4   -2    0   14   12   -0.000466    0.000025
   -4   -2    0   15   12   -0.000821   -0.000529
   -4   -2    0   16   12   -0.000571    0.000234
   -4   -2    0   17   12   -0.000537    0.000003
   -4   -2    0   18   12    0.000989   -0.000193
   -4   -2    0   19   12   -0.000586    0.000654
   -4   -2    0   20   12    0.000479    0.000223
   -4   -2    0   21   12   -0.000366    0.000372
   -4   -2    0   22   12    0.000301   -0.000464
   -4   -2    0   23   12    0.000436   -0.000500
   -4   -2    0   24   12   -0.000240    0.000400
